column1,column2,column3
15393959,1.5,D
6263772,28.3,B
12183277,150.0,C
15081258,1.5,A
4452060,119.4,D
8892598,13.3,B
15989429,53.4,E
6705707,22.7,E
334868,74.5,E
13097380,63.3,C
13040899,1.5,D
13721819,68.7,E
8347871,45.7,A
10391015,77.9,D
9277863,150.0,D
5955682,105.2,E
12773546,1.5,B
1481775,1.5,A
14914203,111.2,D
10592356,63.2,E
8261371,78.7,B
3025020,32.0,A
3299129,87.5,A
5430683,150.0,B
4996945,1.5,B
16522391,1.5,E
10021399,10.8,C
3177940,83.3,D
11868611,131.1,C
6738323,128.1,B
1633407,53.1,D
7121480,150.0,D
12884948,69.0,A
832622,52.4,D
7217605,1.5,C
5349482,150.0,E
12863385,94.0,B
988426,21.5,B
11133622,54.6,A
10134491,41.1,A
1667280,2.7,D
12200070,5.7,B
4473477,27.0,B
9612963,27.0,D
1137143,74.4,B
12208046,1.5,A
3597661,68.6,B
1063400,87.8,C
6841682,67.4,D
15735249,62.6,C
12691898,73.8,B
3458596,1.5,E
2102453,72.4,C
9386625,150.0,E
16306685,15.3,C
14939469,12.2,E
14766620,1.5,A
14678271,1.5,A
7322150,96.0,B
3020784,35.5,A
8276818,1.5,D
16501557,108.7,E
9497569,79.2,B
10544394,1.5,E
4609171,88.1,D
12106971,52.0,D
202665,54.8,A
12127469,18.5,A
4136393,40.6,D
11646561,105.1,C
13039886,18.6,B
11659389,113.3,C
11666187,1.5,E
15451709,135.3,E
12405611,150.0,B
11048306,68.3,D
3129596,60.5,A
2095960,83.8,D
12377353,67.8,A
4669438,12.9,E
5024267,150.0,D
9542065,109.2,E
10400698,150.0,C
13472598,1.5,E
8564325,1.5,D
10359344,1.5,E
6305701,1.5,E
2033727,1.5,A
13325617,94.1,B
11003857,40.5,D
4866225,41.6,A
13610350,1.5,B
15639676,89.7,E
16109686,57.0,B
1467222,130.0,D
2066377,74.6,B
4301958,1.5,B
9002762,1.5,B
15172526,40.6,C
14801402,83.6,D
